Input State,Input Size,Selection,Bubble,Insertion,Merge,Quick,Heap,Radix
Random,1000,0.001,0.001,0.001,0,0,0,0,
Random,3000,0.004,0.009,0.002,0.001,0,0,0,
Random,10000,0.054,0.149,0.024,0.003,0,0.001,0.001,
Random,30000,0.405,1.513,0.122,0.006,0.003,0.004,0.002,
Random,100000,3.873,16.608,1.444,0.026,0.007,0.012,0.007,
Sorted,1000,0,0,0,0.001,0,0,0.001,
Sorted,3000,0.004,0.003,0,0,0,0.001,0,
Sorted,10000,0.065,0.035,0,0.002,0,0,0.001,
Sorted,30000,0.353,0.323,0,0.004,0,0.002,0.003,
Sorted,100000,3.916,3.652,0,0.014,0.001,0.007,0.009,
Reverse,1000,0,0.001,0.001,0.001,0,0,0,
Reverse,3000,0.003,0.008,0.005,0.001,0,0,0.001,
Reverse,10000,0.035,0.088,0.034,0.001,0,0.001,0.001,
Reverse,30000,0.321,0.782,0.316,0.004,0.001,0.002,0.002,
Reverse,100000,3.851,8.686,2.992,0.014,0,0.007,0.011,
NearSorted,1000,0,0.001,0,0,0,0,0,
NearSorted,3000,0.004,0.005,0,0.001,0,0,0,
NearSorted,10000,0.052,0.035,0,0.001,0,0.001,0,
NearSorted,30000,0.354,0.396,0,0.005,0,0.002,0.003,
NearSorted,100000,3.737,3.929,0,0.02,0.002,0.008,0.013,
